HoleID,From,To,Au_gpt
DH-01,0,2,0.5
DH-01,2,4,0.8
DH-01,4,6,1.2
DH-01,6,8,2.1
DH-01,8,10,3.5
DH-01,10,12,5.2
DH-01,12,14,7.8
DH-01,14,16,9.2
DH-01,16,18,6.5
DH-01,18,20,4.1
DH-01,20,22,2.3
DH-01,22,24,1.2
DH-01,24,26,0.6
DH-02,0,2,0.4
DH-02,2,4,0.7
DH-02,4,6,1.5
DH-02,6,8,2.8
DH-02,8,10,4.5
DH-02,10,12,6.8
DH-02,12,14,8.5
DH-02,14,16,7.2
DH-02,16,18,5.1
DH-02,18,20,3.2
DH-02,20,22,1.6
DH-02,22,24,0.7
DH-03,0,2,0.6
DH-03,2,4,1.1
DH-03,4,6,2.2
DH-03,6,8,3.8
DH-03,8,10,5.5
DH-03,10,12,7.2
DH-03,12,14,6.8
DH-03,14,16,4.9
DH-03,16,18,3.1
DH-03,18,20,1.5
DH-03,20,22,0.8
DH-04,0,2,0.3
DH-04,2,4,0.6
DH-04,4,6,1.1
DH-04,6,8,2.2
DH-04,8,10,3.5
DH-04,10,12,5.2
DH-04,12,14,6.5
DH-04,14,16,4.8
DH-04,16,18,2.9
DH-04,18,20,1.2
DH-05,0,2,0.5
DH-05,2,4,0.9
DH-05,4,6,1.8
DH-05,6,8,3.2
DH-05,8,10,4.8
DH-05,10,12,6.2
DH-05,12,14,5.5
DH-05,14,16,3.6
DH-05,16,18,1.9
DH-05,18,20,0.8
